match_id,division,matchday,side,team,goals,shots,distance_km,passes_attempted,passes_completed,passes_failed,pass_completion_rate_pct,possession_pct,tackeling_rate_pct,fouls,fouled,offside,corners
4588959,1,34,away,SC Paderborn 07,2,17,111.72,353,264,89,75.0,39.0,51.0,3,13,2,2
4588960,1,34,home,Werder Bremen,6,18,111.92,476,398,78,84.0,53.0,50.0,22,16,1,7
4588960,1,34,away,1. FC Köln,1,6,108.46,415,326,89,79.0,47.0,50.0,16,22,1,5
4588961,1,34,home,SC Freiburg,4,15,115.31,489,425,64,87.0,56.0,52.0,14,4,3,1
4588961,1,34,away,FC Schalke 04,0,22,114.38,367,314,53,86.0,44.0,48.0,5,12,1,5
4588962,1,34,home,FC Augsburg,1,5,108.84,305,223,82,73.0,35.0,45.0,12,10,1,2
4588962,1,34,away,RB Leipzig,2,14,109.82,586,489,97,83.0,65.0,55.0,10,11,3,8
4588963,1,34,home,1. FC Union Berlin,3,11,116.65,358,248,110,69.0,42.0,37.0,15,5,2,6
4588963,1,34,away,Fortuna Düsseldorf,0,27,115.64,456,362,94,79.0,58.0,63.0,6,15,1,10
4589243,2,34,home,VfB Stuttgart,1,12,103.31,528,462,66,88.0,61.0,44.0,13,11,4,8
4589243,2,34,away,SV Darmstadt 98,3,5,99.13,343,274,69,80.0,39.0,56.0,12,13,2,1
4589244,2,34,home,Hannover 96,2,11,106.97,326,224,102,69.0,40.0,44.0,13,12,2,2
4589244,2,34,away,VfL Bochum,0,20,104.42,480,374,106,78.0,60.0,56.0,12,12,2,6
4589245,2,34,home,Hamburger SV,1,9,114.46,572,468,104,82.0,71.0,53.0,8,17,0,6
4589245,2,34,away,SV Sandhausen,5,12,110.68,230,131,99,57.0,29.0,47.0,17,8,2,3
4589246,2,34,home,Holstein Kiel,1,14,114.88,487,402,85,83.0,56.0,50.0,15,17,3,7
4589246,2,34,away,1. FC Nürnberg,1,17,116.75,360,273,87,76.0,44.0,50.0,17,13,1,5
4589247,2,34,home,Arminia Bielefeld,3,13,122.45,709,637,72,90.0,61.0,61.0,4,9,1,4
4589247,2,34,away,1. FC Heidenheim,0,7,122.72,438,378,60,86.0,39.0,39.0,9,4,2,4
4589248,2,34,home,Jahn Regensburg,1,20,109.61,290,204,86,70.0,45.0,53.0,16,15,2,3
4589248,2,34,away,Erzgebirge Aue,2,16,108.05,363,278,85,77.0,55.0,47.0,15,16,3,4
4589249,2,34,home,Dynamo Dresden,2,21,106.85,414,338,76,82.0,50.0,39.0,17,6,1,9
4589249,2,34,away,VfL Osnabrück,2,15,110.96,433,344,89,79.0,50.0,61.0,9,17,0,4
4589250,2,34,home,SpVgg Greuther Fürth,1,9,111.03,512,430,82,84.0,65.0,45.0,17,12,4,6
4589250,2,34,away,Karlsruher SC,2,14,113.29,276,190,86,69.0,35.0,55.0,13,16,2,3
4589251,2,34,home,SV Wehen Wiesbaden,5,22,117.83,606,519,87,86.0,63.0,43.0,11,9,1,5
4589251,2,34,away,FC St. Pauli,3,12,119.17,357,263,94,74.0,37.0,57.0,9,11,0,4
